Human factor,Precision,Recall,F1-score,Support,Model
Situational Awareness,0.7096,0.9977502812148481,0.8293595137914913,889,BiGRU
Communication Breakdown,0.504,0.9968354430379747,0.6695005313496281,632,BiGRU
Confusion,0.37772397094430993,0.997867803837953,0.5480093676814989,469,BiGRU
Distraction,0.324455205811138,0.7613636363636364,0.45500848896434637,352,BiGRU
Workload,0.29819694868238555,0.7239057239057239,0.4223968565815324,297,BiGRU
Time Pressure,0.15279503105590062,0.76875,0.2549222797927461,160,BiGRU
Training / Qualification,0.33076923076923076,0.2792207792207792,0.3028169014084507,154,BiGRU
Human-Machine Interface,0.15901639344262294,0.6689655172413793,0.25695364238410595,145,BiGRU
Troubleshooting,0.13405797101449277,0.42045454545454547,0.2032967032967033,88,BiGRU
