Model,Subset Accuracy,Hamming Loss,Micro Precision,Micro Recall,Micro F1,Macro F1,Weighted F1,Macro ROC-AUC,Macro Average Precision
TF-IDF + Logistic Regression,0.06220095693779904,0.2727272727272727,0.5106803797468354,0.810420590081607,0.6265469546226644,0.5200183247390361,0.6378649433512331,0.7551907374069768,0.5204485666865835
LSTM,0.01674641148325359,0.4049264575580365,0.3982352941176471,0.8499686126804771,0.542359303024234,0.4328350931496665,0.577184673974743,0.604124918879166,0.3602186340145347
BiGRU,0.019138755980861243,0.4214956583377636,0.3894751653299564,0.8688010043942247,0.5378412513358594,0.4380293650278337,0.579292513231618,0.6181090369427484,0.36079058883535037
