Human factor,Full dataset (%),Training (%),Validation (%),Test (%)
Situational Awareness,70.27379400260756,69.99494012481026,70.97288676236045,70.89314194577354
Communication Breakdown,49.97036861443641,49.77230561646146,50.47846889952153,50.398724082934606
Confusion,37.09849472561337,36.95395513577332,37.48006379585327,37.40031897926635
Distraction,27.806092212871874,27.69438353853938,28.07017543859649,28.07017543859649
Workload,23.49176247481332,23.39348962725586,23.76395534290271,23.684210526315788
Time Pressure,12.646675358539767,12.599089222465846,12.759170653907494,12.759170653907494
Training / Qualification,12.160720635296906,12.109967954123798,12.280701754385964,12.280701754385964
Human-Machine Interface,11.437714827545337,11.38471917692697,11.562998405103668,11.562998405103668
Troubleshooting,7.004859547232428,6.982627761848541,7.097288676236045,7.017543859649122
