Human factor,Precision,Recall,F1-score,Support,Model
Situational Awareness,0.7089314194577353,1.0,0.8296780214652356,889,LSTM
Communication Breakdown,0.504396482813749,0.9984177215189873,0.6702071163037706,632,LSTM
Confusion,0.3740031897926635,1.0,0.5443993035403366,469,LSTM
Distraction,0.29818956336528224,0.7954545454545454,0.4337722695584818,352,LSTM
Workload,0.35555555555555557,0.5925925925925926,0.4444444444444444,297,LSTM
Time Pressure,0.16236162361623616,0.55,0.25071225071225073,160,LSTM
Training / Qualification,0.16730038022813687,0.5714285714285714,0.25882352941176473,154,LSTM
Human-Machine Interface,0.2549019607843137,0.3586206896551724,0.2979942693409742,145,LSTM
Troubleshooting,0.1044776119402985,0.3977272727272727,0.16548463356973994,88,LSTM
